epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,446.215,1.10252,2.94426,1.14942,0.48636,0.27391,0.31926,0.23544,0.96593,2.4324,1.04996,0.00030027,0.00030027,0.00030027
2,943.051,1.06786,1.88146,1.1171,0.6701,0.42636,0.46323,0.33431,0.98652,1.72086,1.06937,0.000591326,0.000591326,0.000591326
3,1325.2,1.07535,1.68007,1.1231,0.66611,0.40538,0.45815,0.3148,1.02676,1.92331,1.10943,0.000870382,0.000870382,0.000870382
4,1716.31,1.06893,1.54551,1.1197,0.57973,0.41676,0.42143,0.29098,1.08219,1.90532,1.1323,0.000855005,0.000855005,0.000855005
5,2123.71,1.04722,1.42925,1.10594,0.8122,0.45636,0.55063,0.41321,0.90888,1.31626,1.03832,0.000837007,0.000837007,0.000837007
6,2648.97,0.97239,1.2638,1.07205,0.70574,0.52187,0.57653,0.42977,0.88567,1.21837,1.02722,0.000819009,0.000819009,0.000819009
7,3029.84,0.97625,1.1986,1.08649,0.7772,0.49656,0.5821,0.42312,0.92045,1.19762,1.05556,0.000801011,0.000801011,0.000801011
8,3446.12,0.93853,1.14752,1.06028,0.8513,0.52149,0.60753,0.45475,0.86084,1.07731,1.01599,0.000783013,0.000783013,0.000783013
9,3943.3,0.93514,1.09805,1.0589,0.7884,0.52795,0.61195,0.46155,0.82874,1.08492,0.98474,0.000765014,0.000765014,0.000765014
10,4337.13,0.90448,1.02617,1.03627,0.86018,0.52478,0.6219,0.4743,0.8398,1.01477,0.99731,0.000747016,0.000747016,0.000747016
11,4713.51,0.88939,0.98154,1.0299,0.8096,0.56572,0.6382,0.48414,0.82778,0.93835,0.98547,0.000729018,0.000729018,0.000729018
12,5200.54,0.8603,0.93905,1.02366,0.78872,0.5486,0.61198,0.46735,0.81775,0.92174,1.00895,0.00071102,0.00071102,0.00071102
13,5635.73,0.88104,0.9249,1.02521,0.85631,0.55418,0.64712,0.4941,0.79637,0.90703,0.97709,0.000693022,0.000693022,0.000693022
14,6058.27,0.84954,0.90463,1.0084,0.81925,0.57481,0.66073,0.49891,0.78378,0.87719,0.96724,0.000675023,0.000675023,0.000675023
15,6475.51,0.81847,0.85991,1.00627,0.86411,0.55148,0.6472,0.49019,0.77867,0.90315,0.97143,0.000657025,0.000657025,0.000657025
16,6894.66,0.83396,0.86269,1.00534,0.84477,0.57691,0.66859,0.5163,0.75548,0.81698,0.95734,0.000639027,0.000639027,0.000639027
17,7312.92,0.80967,0.81565,0.99511,0.9159,0.56126,0.66635,0.51342,0.75827,0.76988,0.9606,0.000621029,0.000621029,0.000621029
18,7733.08,0.79368,0.795,0.98668,0.87018,0.58827,0.67399,0.52101,0.72739,0.7634,0.95225,0.000603031,0.000603031,0.000603031
19,8152.23,0.80319,0.79778,0.9877,0.8594,0.58869,0.67512,0.52115,0.74873,0.78121,0.95576,0.000585032,0.000585032,0.000585032
20,8568.83,0.78784,0.76663,0.98319,0.86951,0.58498,0.69106,0.53171,0.73469,0.72999,0.95127,0.000567034,0.000567034,0.000567034
21,8985.36,0.77301,0.74778,0.98301,0.86839,0.58335,0.67779,0.53574,0.68673,0.72378,0.92729,0.000549036,0.000549036,0.000549036
22,9405.06,0.77228,0.74668,0.97641,0.88739,0.6005,0.68814,0.54823,0.68065,0.7061,0.93078,0.000531038,0.000531038,0.000531038
23,9823.8,0.74156,0.72247,0.96694,0.8448,0.61193,0.69337,0.5421,0.68856,0.69228,0.94527,0.00051304,0.00051304,0.00051304
24,10247.6,0.74822,0.70661,0.96765,0.84886,0.61924,0.6953,0.54197,0.69184,0.7086,0.93269,0.000495041,0.000495041,0.000495041
25,10665.6,0.7326,0.69443,0.95719,0.87188,0.61877,0.70142,0.55537,0.67064,0.70003,0.92888,0.000477043,0.000477043,0.000477043
26,11099.9,0.72702,0.68831,0.95993,0.87201,0.61554,0.69395,0.5474,0.69436,0.69033,0.93567,0.000459045,0.000459045,0.000459045
27,11520.3,0.72065,0.67587,0.95479,0.89636,0.61058,0.70452,0.55531,0.6622,0.65413,0.92619,0.000441047,0.000441047,0.000441047
28,11992,0.71951,0.66958,0.95136,0.90764,0.59719,0.69482,0.54766,0.66484,0.66886,0.92826,0.000423049,0.000423049,0.000423049
29,12406.1,0.71228,0.66185,0.95519,0.92245,0.61789,0.71365,0.55774,0.67488,0.64864,0.92956,0.00040505,0.00040505,0.00040505
30,12828,0.70446,0.63988,0.95254,0.89875,0.62405,0.71208,0.56235,0.66316,0.62154,0.92873,0.000387052,0.000387052,0.000387052
31,13621.5,0.69155,0.62454,0.94102,0.85894,0.6374,0.71453,0.56464,0.65287,0.62075,0.9237,0.000369054,0.000369054,0.000369054
32,14548.3,0.68405,0.63215,0.94373,0.88684,0.63068,0.71912,0.57129,0.62976,0.59898,0.91078,0.000351056,0.000351056,0.000351056
33,15328.7,0.67006,0.59099,0.92779,0.92102,0.61128,0.71483,0.56809,0.63602,0.60771,0.9115,0.000333058,0.000333058,0.000333058
34,16102.1,0.65719,0.58688,0.92678,0.89999,0.62233,0.71792,0.57339,0.64075,0.60626,0.91798,0.000315059,0.000315059,0.000315059
35,16877,0.65719,0.58941,0.93225,0.84186,0.64557,0.72004,0.58135,0.61314,0.59383,0.90338,0.000297061,0.000297061,0.000297061
